year,recipient_code,chn_aid
2010,SOM,4431138.537
2011,SOM,16000000
2014,SOM,40000
2000,ZAF,26081336.79
2002,ZAF,0
2003,ZAF,0
2004,ZAF,0
2006,ZAF,9153779.441
2007,ZAF,3973236.873
2009,ZAF,0
2002,LKA,2613366.124
2003,LKA,6904080.9291
2004,LKA,18122944.24
2005,LKA,31043340.504
2006,LKA,0
2008,LKA,9230.732644
2009,LKA,1049890733.7943
2010,LKA,2966448.8679
2011,LKA,199014558.383
2012,LKA,254700000
2013,LKA,225361400.7429
2006,LCA,0
2000,SDN,30000
2001,SDN,0
2002,SDN,25624520.242
2003,SDN,0
2004,SDN,2400000
2005,SDN,179220358.012
2006,SDN,1254164.086
2007,SDN,81686919.97
2008,SDN,23234764.57
2009,SDN,71927650.702
2010,SDN,7385230.895
2011,SDN,0
2012,SDN,0
2013,SDN,63068.13156
2014,SDN,700000000
2001,SUR,0
2003,SUR,5000000
2006,SUR,500000
2013,SUR,0
2009,SYR,0
2010,SYR,0
2011,SYR,0
2012,SYR,2000000
2014,SYR,3255508.188
2003,TJK,2700000
2004,TJK,745417.7697
2006,TJK,368500000
2007,TJK,4000000
2008,TJK,0
2010,TJK,36900000
2011,TJK,26500000
2012,TJK,49000000
2013,TJK,20900000
2000,TZA,53831440.916
2001,TZA,37800000
2002,TZA,2326059.574
2003,TZA,200000
2004,TZA,23055000
2005,TZA,270521.5456
2006,TZA,11609588.6542
2007,TZA,4497863.845
2008,TZA,71500000
2009,TZA,28032255.4767
2010,TZA,103628105.50572
2011,TZA,94453541.84
2012,TZA,1753140491.662405
2013,TZA,406604998.611894
2014,TZA,15982400.18717
2002,THA,0
2004,THA,99447.03738
2005,THA,905000
2006,THA,1960034.657
2009,THA,116666.4631
2010,THA,1477046.179
2011,THA,5642912.568
2012,THA,80429.57975
2003,TLS,0
2005,TLS,0
2006,TLS,0
2007,TLS,460070.3316
2008,TLS,571956.37141
2009,TLS,0
2010,TLS,0
2011,TLS,0
2012,TLS,0
2013,TLS,0
2014,TLS,0
2001,TGO,0
2003,TGO,0
2004,TGO,66252.14162
2005,TGO,100000
2006,TGO,18750155.65489
2007,TGO,1320746.223708
2008,TGO,8026443.7887
2009,TGO,12494794.453
2010,TGO,36800000
2011,TGO,309527.5045
2012,TGO,16061829.87
2013,TGO,0
2014,TGO,1669488.8708000001
2001,TON,4200000
2002,TON,3986972.266
2003,TON,0
2005,TON,0
2006,TON,61797944.861999996
2007,TON,38251561.86
2008,TON,72859563.7141
2009,TON,124576.14006
2010,TON,0
2011,TON,1175416.7807999998
2012,TON,79210.0185
2013,TON,8000000
2014,TON,3073631.141
2000,TUN,0
2002,TUN,0
2004,TUN,0
2006,TUN,0
2008,TUN,0
2009,TUN,2927650.702
2010,TUN,0
2011,TUN,2000000
2012,TUN,30111217.17
2014,TUN,0
2002,TUR,5000
2003,TUR,30000
2011,TUR,1000000
2003,TKM,31812242.787
2006,TKM,300000000
2000,UGA,3612911.54
2001,UGA,133219662.80959
2002,UGA,5103436
2003,UGA,5334279.805
2004,UGA,5000000
2005,UGA,0
2006,UGA,25031556.490000002
2007,UGA,52532477.1135
2008,UGA,17662850.899
2009,UGA,111864680
2010,UGA,3874000.58399
2011,UGA,100000000
2012,UGA,18366476.935
2013,UGA,8200000
2014,UGA,484927754.094
2000,UKR,603973.8459
2001,UKR,362447.1708
2002,UKR,0
2006,UKR,3150000
2009,UKR,512338.8729
2014,UKR,52000000
2006,URY,50000
2007,URY,50000
2009,URY,2500000
2010,URY,1500000
2011,URY,0
2014,URY,1000000
2000,UZB,0
2001,UZB,16006044.068
2004,UZB,6040981.414
2007,UZB,44970000
2009,UZB,3659563.378
2010,UZB,443113.8537
2012,UZB,7921001.85
2013,UZB,350000000
2000,VUT,5000000
2001,VUT,300000
2003,VUT,0
2004,VUT,15370000
2005,VUT,286000
2006,VUT,2360000
2008,VUT,4890000
2009,VUT,30344537.158
2010,VUT,0
2012,VUT,50000
2013,VUT,116096935.241446
2014,VUT,59000000
2013,VEN,0
2014,VEN,0
2000,VNM,53599999
2002,VNM,87916346.828
2004,VNM,124163.92566000001
2005,VNM,7505201.7759
2006,VNM,6270820.43
2009,VNM,0
2010,VNM,14835.351794
2011,VNM,5000
2012,VNM,10000
2002,YEM,84000000
2007,YEM,2628973.323
2008,YEM,8300000
2009,YEM,40731912.6755
2011,YEM,0
2013,YEM,5000000
2014,YEM,16000000
2000,ZMB,2520794.7692
2001,ZMB,62469078.618
2002,ZMB,10816346.828
2003,ZMB,14060000
2004,ZMB,21600000
2005,ZMB,8963736.0447
2006,ZMB,233033312.69
2007,ZMB,14000000
2009,ZMB,82400000
2010,ZMB,57752505.597
2011,ZMB,95860649.512
2012,ZMB,6000000
2013,ZMB,8004633.158494
2014,ZMB,401000000
2000,ZWE,3019895.384
2001,ZWE,612447.1708
2002,ZWE,6937464.6797
2003,ZWE,69920000
2004,ZWE,780262470.0706
2005,ZWE,6000000
2006,ZWE,15016656.344
2007,ZWE,10000000
2008,ZWE,7695637.141
2009,ZWE,7160000
2010,ZWE,77969230.895
2011,ZWE,168341689.0653
2012,ZWE,1046040231.166
2013,ZWE,39054044.575
2014,ZWE,307530000
